name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
Bratislava Open,"Bratislava, Slovak Republic",9,"June 15, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bratislava/9003/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Sopra Steria,"Lyon, France",9,"June 15, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/lyon/7536/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
AAT Challenger Santander edición Santa Fe,"Santa Fe, Argentina",9,"June 15, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/santa-fe/2887/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Emilia-Romagna Tennis Cup,"Sassuolo, Italy",16,"June 21, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/sassuolo/9835/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Nottingham Open,"Nottingham, Great Britain",16,"June 21, 2025",Grass,Outdoor,,https://www.atptour.com/en/scores/archive/nottingham/7740/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Enea Poznan Open,"Poznan, Poland",16,"June 21, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/poznan/786/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bolivia Open,"Santa Cruz, Bolivia",16,"June 21, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/santa-cruz/9479/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Royan Atlantique Open,"Royan, France",16,"June 21, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/royan/4942/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Aspria Tennis Cup trofeo BCS,"Milan, Italy",23,"June 28, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/milan/3463/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lima Challenger,"Lima, Peru",23,"June 28, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/lima/2787/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Cary Tennis Classic,"Cary, United States",30 June,"July 6, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/cary/7316/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Ion Tiriac Challenger,"Brasov, Romania",30 June,"July 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/brasov/2931/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Modena Challenger,"Modena, Italy",30 June,"July 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/modena/2877/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Internationaux de Tennis de Troyes,"Troyes, France",30 June,"July 6, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/troyes/1214/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Hall of Fame Open,"Newport, United States",7,"July 13, 2025",Grass,Outdoor,,https://www.atptour.com/en/scores/archive/newport/315/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Brawo Open,"Braunschweig, Germany",7,"July 12, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/braunschweig/526/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Citta' Di Trieste,"Trieste, Italy",7,"July 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/trieste/9351/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Concord Iasi Open,"Iasi, Romania",7,"July 13, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/iasi/8394/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Winnipeg National Bank Challenger,"Winnipeg, Canada",7,"July 13, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/winnipeg/7542/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexus Nottingham Challenger 3,"Nottingham, Great Britain",7,"July 13, 2025",Grass,Outdoor,,https://www.atptour.com/en/scores/archive/nottingham/3007/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Internazionali di Tennis San Marino Open,"San Marino, San Marino",14,"July 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/san-marino/9540/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Les Championnats Banque Nationale de Granby,"Granby, Canada",14,"July 20, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/granby/877/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Dutch Open Tournament,"Bunschoten, Netherlands",14,"July 20, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bunschoten/9198/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Ciudad de Pozoblanco,"Pozoblanco, Spain",14,"July 20, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/pozoblanco/472/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Dialectic Zug Open,"Zug, Switzerland",21,"July 27, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/zug/2785/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Cranbrook Tennis Classic,"Bloomfield Hills, United States",21,"July 27, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/bloomfield-hills/2883/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Castilla y Leon Villa de el Espinar,"Segovia, Spain",21,"July 27, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/segovia/783/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Tampere Open,"Tampere, Finland",21,"July 27, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/tampere/221/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Eupago Porto Open,"Porto, Portugal",28 July,"August 3, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/porto/9526/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Lexington Open,"Lexington, United States",28 July,"August 3, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/lexington/586/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Platzmann Open,"Hagen, Germany",28 July,"August 3, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/hagen/9542/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Svijany Open,"Liberec, Czechia",28 July,"August 3, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/liberec/6795/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
President's Cup,"Astana, Kazakhstan",28 July,"August 3, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/astana/9533/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
2025 CHICAGO MEN'S CHALLENGER,"Chicago, United States",4,"August 10, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/chicago/2797/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Bonn Open,"Bonn, Germany",4,"August 10, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bonn/2935/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Kozerki Open,"Grodzisk Mazowiecki, Poland",4,"August 10, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/grodzisk-mazowiecki/2789/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
"Serena Wines 1881 - Acqua Maniva Tennis Cup ""Internazionali del Friuli Venezia Giulia""","Cordenons, Italy",4,"August 10, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/cordenons/2120/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Kia Open,"Barranquilla, Colombia",11,"August 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/barranquilla/6250/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Internazionali di Tennis Citta di Todi | CERgo Tennis Cup,"Todi, Italy",11,"August 16, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/todi/8392/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Genesis Traiding Cup,"Sofia, Bulgaria",11,"August 16, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/sofia/2043/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Hersonissos Challenger 3,"Hersonissos, Greece",11,"August 16, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/hersonissos/3017/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Europcar Cancun Country Club,"Cancun, Mexico",12,"August 17, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/cancun/3009/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Serve First Open,"Sumter, United States",12,"August 17, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/sumter/3015/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Genesis Trading Cup,"Sofia, Bulgaria",18,"August 23, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/sofia/2945/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
